product_name,product_url,website_name,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Oolong Tứ Quý Kim Quất Trân Châu,https://thecoffeehouse.com/products/oolong-tu-quy-kim-quat-tran-chau,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356364_oolong-kim-quat-tran-chau_868486a049ba4e88a88be43abf6cf5fc_grande.png,1,oolong tứ quý kim quất trân châu,TH-TE-009,"Món trà quý hiếm Oolong Tứ Quý Kim Quất Trân Châu là một trong những lựa chọn tốt nhất cho người yêu trà. Trà này được chế biến từ những lá trà oolong ngon nhất, kết hợp với kỹ thuật sản xuất cao cấp để tạo ra hương vị độc đáo.

Khi mở nắp chai, bạn sẽ ngay lập tức ngửi thấy hương thơm tự nhiên và ấm áp của trà. Sau khi pha, bạn sẽ được thưởng thức một món trà có hương vị êm ái, hơi nồng, mang lại cảm giác thư giãn và thoải mái cho người uống.

Oolong Tứ Quý Kim Quất Trân Châu là một lựa chọn tuyệt vời cho những ai yêu thích trà oolong. Sản phẩm này đã được nhiều người thưởng thức và đánh giá cao, hứa hẹn sẽ mang lại những khoảnh khắc thư giãn và ngon miệng cho bạn.",49000,₫,0,217,50,12,3.4,Tea
Oolong Tứ Quý Vải,https://thecoffeehouse.com/products/oolong-tu-quy-vai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737356353_oolong-tu-quy-vai_56ba32db39ca48f986e716d1a2a8c447_grande.png,1,oolong tứ quý vải,TH-TE-010,"Món trà Oolong Tứ Quý Vải là một trong những loại trà được ưa chuộng nhất hiện nay. Trà có màu vàng óng ánh, hương thơm nhẹ nhàng và độ chua dịu dàng. Khi thưởng trà, bạn sẽ cảm nhận được vị thanh lịch, tinh khiết và hơi chút đắng.

Trà Oolong Tứ Quý Vải được chế biến từ những lá trà chất lượng cao, đảm bảo rằng mỗi chai đều có thể mang lại cho người uống những kinh nghiệm tuyệt vời về hương vị. Khi pha trà, bạn sẽ thấy mùi thơm phát triển, kéo theo một cảm giác thư giãn và thoải mái.

Món trà Oolong Tứ Quý Vài cũng được chứng nhận là an toàn cho sức khỏe, không chứa chất độc hại hay phụ gia hóa học. Vì vậy, có thể yên tâm rằng mỗi lần thưởng trà đều mang lại lợi ích cho cơ thể.

Tóm lại, Món trà Oolong Tứ Quý Vải là một lựa chọn tuyệt vời cho những ai yêu trà và mong muốn trải nghiệm hương vị tươi mới, thanh lịch.",49000,₫,0,13,50,4,4.5,Tea
Chocolate Đá,https://thecoffeehouse.com/products/chocolate-da,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355560_chocolate-da_9d2569bdbea84fd5829abb1b9dedc709_grande.png,1,chocolate đá,TH-CH-001,"Món đồ uống chocolate Đá là một trải nghiệm hoàn hảo cho những người yêu thích hương vị ngọt ngào và tươi mát. Cốc đồ uống này được làm từ hỗn hợp các nguyên liệu chất lượng cao bao gồm cacao, sữa và đường, tạo ra một hương vị đặc biệt thơm ngon.

Khi mở nắp, bạn sẽ được chào đón bởi một mùi hương cacao thơm lừ, hòa cùng hương sữa mỏng tanh. Sau đó, khi uống, bạn sẽ cảm nhận được sự kết hợp hoàn hảo giữa hương cacao, sữa và đường tạo ra một trải nghiệm vị giác tuyệt vời.

Món đồ uống chocolate Đá không chỉ là một đồ uống giải khát bình thường, mà còn là một món quà cho người dùng với hàm lượng axit oleic cao giúp tăng cường sức khỏe. Ngoài ra, sản phẩm này còn được làm từ các nguyên liệu tự nhiên, an toàn và thân thiện với môi trường.

Tóm lại, món đồ uống chocolate Đá là một lựa chọn tuyệt vời cho những ai yêu thích hương vị ngọt ngào và tươi mát. Hãy thưởng thức ngay bây giờ và cảm nhận được sự khác biệt của sản phẩm này!",55000,₫,0,326,50,13,4.7,Chocolate & Cacao
Chocolate Nóng,https://thecoffeehouse.com/products/chocolate-nong,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355571_chocolate-nong_422eb78454814a0c9f79ac8805449244_grande.png,1,chocolate nóng,TH-CH-002,"Món đồ uốngChocolate Nóng là sự kết hợp hoàn hảo giữa hương vị cacao chín và hơi ấm, mang lại cho bạn một cảm giác thư giãn sau ngày dài. Đồ uống này được làm từ công thức độc đáo, giúp tạo nên mùi thơm quyến rũ và vị ngọt dịu.

Chất lượng chocolate dùng trong sản xuất đồ uốngChocolate Nóng được chọn lọc kỹ lưỡng, đảm bảo rằng mỗi cốc đều mang lại một trải nghiệm hương vị tuyệt vời. Hơi ấm của đồ uống giúp làm tan chảy các tế bào mỡ, tạo ra một cảm giác thoải mái và sảng khoái.

Với công thức bí mật và cách sản xuất đặc biệt, Chocolate Nóng là lựa chọn hoàn hảo cho những người yêu thích đồ uống cacao. Đừng bỏ qua cơ hội để trải nghiệm hương vị tuyệt vời củaChocolate Nóng!",55000,₫,40,492,50,7,4.7,Chocolate & Cacao
A-Mê Classic,https://thecoffeehouse.com/products/a-me-classic,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032449_1737354959-ame-classic-400x400_fd01b10cd5874ffabf786bef742b9acf_grande.png,1,a-mê classic,TH-CO-001,"Món cà phê A-Mê Classic là một trong những lựa chọn tuyệt vời nhất cho các tín đồ của món café. Cùng với hương vị thơm ngon và béo ngậy của sữa, A-Mê Classic mang lại cảm giác thư giãn và sảng khoái sau mỗi lần thưởng thức.

Khi mở nắp chai, bạn sẽ được chào đón bởi mùi hương quyến rũ của cafe, làm tăng thêm ham muốn của bạn để thưởng thức. Sau đó, bạn sẽ được trải nghiệm hương vị đậm chất của cafe, pha lẫn với sữa thơm và béo ngậy, tạo ra một món cà phê ngon nhất.

A-Mê Classic là lựa chọn hoàn hảo cho những ngày oi bức hay những buổi họp mặt bạn bè. Với giá cả phải chăng và hàm lượng caffeine vừa đủ, A-Mê Classic sẽ giúp bạn cảm thấy sảng khoái và hạnh phúc sau mỗi lần thưởng thức.

Tóm lại, A-Mê Classic là một trong những món cà phê tuyệt vời nhất cho người yêu cafe. Đừng bỏ qua cơ hội để trải nghiệm hương vị mới và được thư giãn sau mỗi lần thưởng thức.",39000,₫,18,196,50,93,3.6,Coffee
A-Mê Mơ,https://thecoffeehouse.com/products/a-me-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032263_1737355001-ame-mo-400x400_d227031b24e94845bd7c203b60193ea9_grande.png,1,a-mê mơ,TH-CO-002,"Giá trị truyền thống của A-Mê Mơ nằm trong mỗi cốc. Caffeine tươi, hương thơm quyến rũ và vị đắng mượt được điều chế để tạo ra một hương vị cà phê hoàn hảo cho bạn.

Mùi hương phức tạp của A-Mê Mơ sẽ làm bạn bị thu hút ngay từ lần đầu tiên. Quả cầu sáp và gỗ sồi thô trong hương thơm tinh tế, hòa quyện với dư vị đắng mượt tạo nên một trải nghiệm hương vị tuyệt vời.

A-Mê Mơ là giải pháp hoàn hảo cho người yêu cà phê khó tính. Sự pha trộn tinh tế của các nguyên liệu và công thức bí mật mang lại một hương vị độc đáo và hấp dẫn. Caffeine trong A-Mê Mơ sẽ cung cấp năng lượng và kích thích não bộ, giúp bạn có thể tiếp tục các hoạt động suốt ngày dài.

Taste the tradition with every sip of A-Mê Mơ.",45000,₫,45,440,50,48,4.1,Coffee
A-Mê Quất,https://thecoffeehouse.com/products/a-me-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744032124_1737355011-ame-quat-400x400_247f133ec3764de38992089eb89161b0_grande.png,1,a-mê quất,TH-CO-003,"Tóm lại, A-Mê Quất là một loại café đích thực mang trong mình vị thơm ngon và hương vị tuyệt vời. Sáng tạo từ sự kết hợp hoàn hảo giữa hạt cafe Arabica cao cấp và chất lượng sữa tươi, A-Mê Quất mang lại cho người uống một cảm giác thư giãn và thoải mái sau mỗi lần thưởng thức.

Vị cafe của A-Mê Quất được pha trộn với sự tinh tế, mang đến một cảm giác ấm áp và sảng khoái. Khi bạn cầm tách café này trong tay, hương vị của những cánh hoa quất tươi sẽ được giải phóng, tạo ra một cảm giác thư giãn và dễ chịu.

Không chỉ là một loại cafe ngon, A-Mê Quất còn là một trải nghiệm thưởng thức tuyệt vời cho người uống. Với giá 49.000 VND, bạn đã có thể sở hữu một sản phẩm cao cấp và thơm ngon như vậy. Trải nghiệm nó và cảm nhận sự khác biệt!",49000,₫,0,396,50,21,4.5,Coffee
A-Mê Tuyết Đào,https://thecoffeehouse.com/products/a-me-tuyet-dao,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031998_1737355030-ame-tuyet-dao-400x400_6d1748248f2b48c1ae4bf124fe9e16b0_grande.png,1,a-mê tuyết đào,TH-CO-004,"Món cà phê A-Mê Tuyết Đào là một lựa chọn tuyệt vời cho những ai yêu thích hương vị đậm của cà phê. Cà phê được sản xuất từ hạt cà phê tươi mới, pha loãng với sữa và đường để tạo ra một kết hợp hoàn hảo.

Khi bạn mở nắp chai, bạn sẽ cảm nhận ngay sự thơm lừng của cà phê, sau đó là vị ngọt ngào của sữa và đường. Cả hai hương vị này hòa trộn lại thành một trải nghiệm uống cà phê tuyệt vời, giúp bạn tăng cường sức khỏe và tinh thần.

A-Mê Tuyết Đào không chỉ dừng lại ở hương vị, mà còn được đảm bảo về chất lượng và an toàn cho người dùng. Nhóm sản xuất của chúng tôi đã quan tâm đến từng chi tiết trong quá trình sản xuất, từ chọn lựa hạt cà phê tốt nhất đến pha loãng sữa và đường.

Tóm lại, A-Mê Tuyết Đào là một món cà phê yêu thích của nhiều người. Với hương vị đậm, chất lượng cao và giá cả hợp lý, bạn có thể thưởng thức trải nghiệm uống cà phê tuyệt vời mỗi ngày.",59000,₫,32,200,50,62,4.7,Coffee
A-Mê Tuyết Mơ,https://thecoffeehouse.com/products/a-me-tuyet-mo,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031902_1737355037-ame-tuyet-mo-400x400_ab440cb323ab4866b141e0e43adf0fc2_grande.png,1,a-mê tuyết mơ,TH-CO-005,"Món đồ uống A-Mê Tuyết Mơ là một trong những lựa chọn tuyệt vời cho những người yêu thích hương vị cafe. Màu sắc của nó giống như tuyết rơi xuống, rất đẹp và cuốn hút. Khi bạn mở nắp, mùi hương cafe mạnh mẽ sẽ phun ra, đánh thức tâm trí và làm việc trở nên hiệu quả.

A-Mê Tuyết Mơ có một công thức độc đáo, kết hợp giữa cafe Arabica và cafe Robusta tạo thành một hương vị complex và cân bằng. Bạn sẽ cảm nhận được notes của chocolate, caramel và hoa quả sau khi uống, mang lại cho bạn một cảm giác thư giãn và sảng khoái.

Ngoài ra, A-Mê Tuyết Mơ còn được bổ sung thêm một ít tinh dầu vanilla để tăng thêm hương thơm, khiến bạn có thể thưởng thức được hương vị cafe một cách trọn vẹn. Món đồ uống này thích hợp với những người yêu thích cafe, đặc biệt là các bạn sinh viên và người làm việc bận rộn.

Chỉ với 59000 VND, A-Mê Tuyết Mơ đã trở thành một lựa chọn giá rẻ và hấp dẫn cho những người yêu thích cafe. Hãy thưởng thức ngay A-Mê Tuyết Mơ để trải nghiệm hương vị cafe tuyệt vời!",59000,₫,0,91,50,20,3.7,Coffee
A-Mê Tuyết Quất,https://thecoffeehouse.com/products/a-me-tuyet-quat,thecoffeehouse,http://product.hstatic.net/1000075078/product/1744031754_1737355048-ame-tuyet-quat-400x400_ff4eff1fc1d4474ca1804976bfef9b62_grande.png,1,a-mê tuyết quất,TH-CO-006,"Sản phẩm A-Mê Tuyết Quất là một loại cà phê được pha trộn với tinh hoa của quất, mang lại trải nghiệm thưởng thức cà phê mới và thú vị. Cốc cà phê này có màu sắc đặc biệt, ánh sáng vàng, thu hút người dùng ngay từ cái nhìn đầu tiên.

 Khi uống, bạn sẽ cảm nhận được hương thơm của quất, kết hợp hài hòa với hương của cà phê, tạo ra một trải nghiệm thưởng thức cà phê tuyệt vời. A-Mê Tuyết Quất không chỉ là một loại cà phê, mà còn là một sự kết hợp giữa hai món đồ yêu thích - cà phê và quất.

 Sản phẩm này được sản xuất bằng công nghệ hiện đại, đảm bảo về chất lượng và an toàn cho người dùng. Bạn có thể yên tâm rằng A-Mê Tuyết Quất là một lựa chọn tuyệt vời để thưởng thức cà phê mỗi ngày.",59000,₫,0,432,50,18,3.9,Coffee
Bơ Sữa Phô Mai,https://thecoffeehouse.com/products/bo-sua-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355134_tcx-bo_d57bb98275564b72abf162875957dc01_grande.png,1,bơ sữa phô mai,TH-FR-001,"Món đồ uống lạnh tuyệt vời này mang tên Bơ Sữa Phô Mai, được chế tạo với công thức riêng biệt để cung cấp một hương vị tươi mát và bổ dưỡng. Thân uống có màu trắng tinh khiết, thể hiện rõ đặc trưng của sữa và bơ, mang lại cảm giác nhẹ nhàng và dễ chịu.

Khi thưởng thức, bạn sẽ bị cuốn hút bởi mùi thơm ngào ngạt của bơ sữa pha trộn với những hương vị trái cây tươi ngon. Món đồ uống này không chỉ cung cấp độ ẩm cho cơ thể mà còn giàu chất dinh dưỡng để giúp sức khỏe trở nên tốt hơn.

Bơ Sữa Phô Mai là một món đồ uống lý tưởng cho những ngày hè nóng bức, giúp bạn có được sự thư giãn và dễ chịu. Quan tâm đến nhu cầu của khách hàng, chúng tôi đã sản xuất ra một sản phẩm tuyệt vời với giá cả rất hợp lý. Tóm lại, Bơ Sữa Phô Mai là một món đồ uống ngon miệng và bổ dưỡng, mang lại niềm vui cho những ai thưởng thức.",55000,₫,0,200,50,61,3.7,Frosty
Dâu Phô Mai,https://thecoffeehouse.com/products/dau-pho-mai,thecoffeehouse,http://product.hstatic.net/1000075078/product/1737355127_tcx-dau_5db0bc95499642c88a362cc821654d74_grande.png,1,dâu phô mai,TH-FR-002,"""Sự kết hợp giữa vị ngon của dâu tây và phô mai là một trải nghiệm ẩm thực tuyệt vời trong sản phẩm Dâu Phô Mai. Sản phẩm này có tác dụng làm lạnh nhanh chóng, giúp bạn thư giãn sau những ngày dài.

Vị chua ngọt của dâu tây được hòa quyện với độ béo của phô mai, tạo ra một hương vị thơm ngon và khó quên. Khi uống, bạn sẽ cảm nhận được sự tươi mát và trẻ trung, như thể đang hòa mình vào thiên nhiên.

Dâu Phô Mai là một món đồ uống lý tưởng cho những ngày hè nóng bỏng, giúp bạn giải nhiệt và trân trọng khoảnh khắc. Bạn có thể uống một chai để ngắm cảnh, hoặc mang theo trong chuyến du lịch, hoặc chia sẻ với người thân.

Chọn Dâu Phô Mai để trải nghiệm hương vị mới mẻ và tươi mát mỗi ngày!""",55000,₫,0,104,50,48,4.7,Frosty
