product_name,product_url,product_brand,original_category,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars
Bingsu Matcha,https://igloo.com.vn/bingsu-matcha,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-1-8805.png,1,Bingsu Matcha,,"Lớp kem tuyết matcha thanh mát hòa quyện cùng đậu đỏ ngọt ngào. Đặc biệt, những hạt hạnh nhân giòn tan kết hợp lớp bông kem béo ngậy.",89000,₫,0,0,50,0,0
Bingsu Sầu Riêng,https://igloo.com.vn/bingsu-sau-rieng,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/o-vuong-5412.png,1,Bingsu Sầu Riêng,,Với lớp kem tuyết sầu riêng thơm nồng nàn kết hợp cùng trái nhãn ngọt thanh. Tất cá tạo nên một bản giao hưởng vị giác khó quên.,89000,₫,0,0,50,0,0
Bingsu Sago,https://igloo.com.vn/bingsu-sago,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-24-1634.png,1,Bingsu Sago,,Những miếng xoài tươi chín mọng hòa quyện hoàn hảo với kem cheese béo ngậy và vụn dừa giòn rụm mang đến trải nghiệm vị giác đầy tươi mới.,89000,₫,0,0,50,0,0
Bingsu Vải,https://igloo.com.vn/bingsu-vai,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/o-vuong-3-7661.png,1,Bingsu Vải,,Được trang trí với những trái vải tươi căng mọng. Một chút kem sữa béo ngậy làm tăng thêm độ mềm mịn và hương vị thanh mát.,89000,₫,0,0,50,0,0
Bingsu Sago Việt Quất,https://igloo.com.vn/bingsu-sago-viet-quat,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-3-2329.png,1,Bingsu Sago Việt Quất,,"Lớp kem việt quất ngọt dịu tạo  nền tảng hoàn hảo cho sự kết hợp hài hòa giữa xoài chín mọng, bánh ngũ cốc giòn rụm và những sợi dừa trắng thơm béo.",89000,₫,0,0,50,0,0
Bingsu Socola Chuối,https://igloo.com.vn/bingsu-socola-chuoi,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-13-6398.png,1,Bingsu Socola Chuối,,"Những lát chuối tươi rói kết hợp với bánh Cream-O, socola chip giòn tan và bông kem béo ngậy. Hòa quyện với sốt socola đậm đà tạo nên một món tráng miệng vừa tươi mát vừa thơm ngon.",89000,₫,0,0,50,0,0
Bingsu Bơ Dừa Nướng,https://igloo.com.vn/bingsu-bo-dua-nuong,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-12-6138.png,1,Bingsu Bơ Dừa Nướng,,"Sự kết hợp hoàn hảo giữa bơ tươi, kem cheese béo ngậy và dừa sợi thơm bùi mang đến một món tráng miệng vừa thơm ngon vừa tươi mới.",89000,₫,0,0,50,0,0
Bingsu Bơ Sầu Riêng,https://igloo.com.vn/bingsu-bo-sau-rieng,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-5-3926.png,1,Bingsu Bơ Sầu Riêng,,"Sự kết hợp của kem tuyết sầu riêng thơm lừng, bơ tươi bùi béo và những trái nhãn ngọt thanh mang đến một hương vị không thể chối từ.",89000,₫,0,0,50,0,0
Bingsu Socola Koko,https://igloo.com.vn/bingsu-socola-koko,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-14-7213.png,1,Bingsu Socola Koko,,"Vị socola đậm đà phối hợp tuyệt vời với kem cheese trên nền kem tuyết, kèm hạt ngũ cốc socola tạo trải nghiệm vị giác đầy hấp dẫn.",89000,₫,0,0,50,0,0
Bingsu Dâu Tuyết,https://igloo.com.vn/bingsu-dau-tuyet,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/o-vuong-4-1016.png,1,Bingsu Dâu Tuyết,,"Những miếng dâu tươi mọng nước, hạnh nhân thơm bùi và lớp kem cheese béo ngậy. Tất cả tạo nên bản giao hưởng ẩm thực đầy lôi cuốn.",89000,₫,0,0,50,0,0
Bingsu Đào,https://igloo.com.vn/bingsu-dao,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-9-3182.png,1,Bingsu Đào,,Hương vị tươi mát từ những miếng đào giòn kết hợp cùng lớp bông kem béo ngậy và sốt đào ngọt thơm tạo nên món tráng miệng quyến rũ.,89000,₫,0,0,50,0,0
Bingsu Soko Dâu,https://igloo.com.vn/bingsu-soko-dau,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-18-1679.png,1,Bingsu Soko Dâu,,"Lựa chọn hấp dẫn với kem cheese béo ngậy, bánh Koko giòn rụm và dâu tươi tây. Điểm xuyết cánh hoa hồng mang đến trải nghiệm đầy hương sắc.",89000,₫,0,0,50,0,0
Bingsu Cherry,https://igloo.com.vn/bingsu-cherry,igloo,Bingsu,https://igloo.com.vn/thumbs/540x540x2/upload/product/thiet-ke-chua-co-ten-19-4249.png,1,Bingsu Cherry,,"Lớp kem cherry thơm ngon kết hợp với socola chip, dâu tây tươi ngọt ngào và bông kem béo ngậy tạo nên một món tráng miệng phong phú hương vị.",89000,₫,0,0,50,0,0
