product_name,product_url,product_brand,product_image_url,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars,category_name
Triple Berry Cloud,https://tljus.com/menus/cakes/triple-berry-cloud,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deae28_Screenshot%202023-05-17%20at%203.52.39%20PM.png,1,,TL-CA-011,"Cloud cream (heavy cream, whipped cream, sugar), White cake sheet (whole egg, wheat flour, sugar, egg white, milk, corn syrup, shortening, margarine, emulsifying agent, corn starch, baking powder, salt, citric acid, xanthan gum), Strawberry, Strawberry cloud cream (heavy cream, whipped cream, sugar, strawberry syrup), Cake syrup (water, sugar), Raspberry, Blueberry, Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,375,50,85,4.8,Cakes
Mango Cloud #3,https://tljus.com/menus/cakes/mango-cloud-3,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade3_Mango%20Cloud%203.webp,1,,TL-CA-012,"Mango cream[heavy cream(milk), mango puree, whipped cream, sugar, mango compound], White cake sheet(whole egg, wheat flour, sugar, egg white, milk, corn syrup, shortening, margarine, emulsifying agent, corn starch, baking powder, salt, citric acid, xanthan gum), Mango, Blueberry, Cloud cream[heavy cream(milk), whipped cream, sugar], Simple syrup(water, sugar, lemon juice), Mango glaze(Mango compound, water, sugar, lemon juice), Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,418,50,54,3.8,Cakes
Mango Cloud #2,https://tljus.com/menus/cakes/mango-cloud-2,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade2_Mango%20Cloud%202.webp,1,,TL-CA-013,"Mango cream[heavy cream(milk), mango puree, whipped cream, sugar, mango compound], White cake sheet(whole egg, wheat flour, sugar, egg white, milk, corn syrup, shortening, margarine, emulsifying agent, corn starch, baking powder, salt, citric acid, xanthan gum), Mango, Blueberry, Cloud cream[heavy cream(milk), whipped cream, sugar], Simple syrup(water, sugar, lemon juice), Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,30,98,50,93,4.2,Cakes
Mocha Cloud,https://tljus.com/menus/cakes/mocha-cloud,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade1_Screenshot%202023-05-02%20at%209.35.30%20AM.webp,1,,TL-CA-014,"Mocha cloud cream[heavy cream(milk), coffee extract, whipped cream, sugar], Mocha cake sheet(liquid egg, sugar, wheat flour, butter, emulsifying agent, coffee extract, baking powder, sea salt), Strawberry, Cloud cream[heavy cream(milk), whipped cream, sugar], Cake syrup(water, sugar), Caramel sauce, Green grape, Raspberry, Blueberry, Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,479,50,61,3.8,Cakes
Choco Cloud,https://tljus.com/menus/cakes/choco-cloud,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade0_Screenshot%202023-05-02%20at%209.25.22%20AM.webp,1,,TL-CA-015,"Cloud cream[heavy cream(milk), whipping cream, sugar], Choco cake sheet(liquid egg, sugar, wheat flour, butter, dark cocoa powder, dough improver, baking powder, sea salt), Semisweet chocolate, Strawberry, Simple syrup (water, sugar, lemon), Cocoa powder, Semisweet chocolate","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,398,50,16,4.5,Cakes
Heart Chocolate Cake,https://tljus.com/menus/cakes/heart-chocolate-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadee_Screenshot%202023-05-15%20at%2012.23.43%20PM.png,1,,TL-CA-016,"Whole egg, Sugar, Margarine, Wheat flour, Chocolate filling, Milk chocolate, Prepared edible fat, Egg white, Shortening, Soybean oil, Chocolate powder, Cocoa powder, Decorative chocolate(dark), Margarine, Decorative chocolate(dark, white), Emulsifying agent, Chocolate signboard(dark), Decorative chocolate(dark), Salt","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,32,454,50,131,3.4,Cakes
Red Velvet Cake,https://tljus.com/menus/cakes/red-velvet-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deaded_Screenshot%202023-05-15%20at%2012.22.11%20PM.png,1,,TL-CA-017,"Red velvet cake sheet (red velvet cake mix, water, egg white, corn oil, sugar), Cream cheese, Fondant, Sugar, Butter","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,438,50,55,3.9,Cakes
Classic Mocha Cake,https://tljus.com/menus/cakes/classic-mocha-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadeb_Screenshot%202023-05-15%20at%2012.15.49%20PM.png,1,,TL-CA-018,"Whole Egg, Sugar, Margarine1, Wheat flour, Glaze, Water, Prepared edible fat, Shortening, Margarine2, Caramel nut crunch, Coffee extract, Chocolate decoration(milk), Emulsifying agent, Chocolate decoration(dark), Dry roasted almond, Hazelnut, Baking powder, Espresso flavor, Chocolate signboard(dark), Chocolate decoration(milk), Pistachio, Rum, Caramel flavor, Coffee powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,388,50,20,4.1,Cakes
Strawberry Sweet,https://tljus.com/menus/cakes/strawberry-sweet,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadea_Screenshot%202023-05-15%20at%2012.14.16%20PM.png,1,,TL-CA-019,"Strawberry cake sheet[liquid egg, sugar, wheat flour, butter,
strawberry syrup, strawberry powder, emulsifying agent, baking powder,
sea salt, food coloring(pink)], Butter, Margareine, Butter cream, Sugar,
Water, Strawberry preserve, Strawberry crunch, Strawberry flavor paste,
Lemon juice, Corn syrup, Food coloring(pink), Gold leaf","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,234,50,3,4,Cakes
Cheesecake,https://tljus.com/menus/cakes/cheesecake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadf0_Screenshot%202023-05-15%20at%2012.26.57%20PM.png,1,,TL-CA-020,"Cheese cake base[cream cheese, sugar, soboro crunch topping{wheat flour. margarine, sugar, wheat flour, corn starch, glucose(corn starch), oligosaccharide, egg, skimmed milk powder(milk), baking powder}, whipping cream, greek yogurt, prepared edible fat(butter), whole egg, vanilla extract], Glaze","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,34,166,50,57,3.6,Cakes
Tiramisu,https://tljus.com/menus/cakes/tiramisu,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadf1_Screenshot%202023-05-15%20at%2012.29.13%20PM.png,1,,TL-CA-021,"Cake base[milk, cream, sugar, cream cheese, water, whole egg, cheese, egg yolk, wheat flour, mascarpone cheese, shortening, margarine, coffee powder, coffee extract, gelatin(pork), emulsifying agent, coffee extract, baking powder, espresso flavor, caramel flavor], Cocoa powder, Sugar powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,479,50,27,2.4,Cakes
Sweet Potato Mousse Cake,https://tljus.com/menus/cakes/sweet-potato-mousse-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadf2_Screenshot%202023-05-15%20at%2012.30.52%20PM.png,1,,TL-CA-022,"Sweet potato mousse base(sweet potato filling, milk cream, whole egg, sugar, water, sweet potato paste, wheat flour, egg white, milk, corn syrup, shortening, margarine, emulsifying agent, gelatin(pork), corn starch, baking powder, salt, citric acid, xanthan gum), Cloud cream[heavy cream(milk), whipping cream, sugar], White cake sheet(whole egg, wheat flour, sugar, egg white, milk, corn syrup, shortening, margarine, emulsifying agent, corn starch, baking powder, salt, citric acid, xanthan gum), Sliced sweet potato, Corn oil, Chocolate sign board(dark)","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,162,50,28,4.8,Cakes
Triple Chocolate Mousse Cake,https://tljus.com/menus/cakes/triple-chocolate-mousse-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadef_Screenshot%202023-05-15%20at%2012.25.34%20PM.png,1,,TL-CA-023,"Mousse cake base[milk cream, dark chocolate, sugar, milk, white chocolate, milk chocolate, water, whole egg, wheat flour, egg yolk, egg white, shortening, soybean oil, cocoa powder, gelatin(pork), margarine, vanilla extract, emulsifying agent, salt, cocoa powder, baking soda, baking powder], Ganache filling, Decorative chocolate(white), Cocoa powder, Powdered sugar, Chocolate signboard(dark)","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,85,50,88,4.5,Cakes
Vanilla Chocolate Heart Mousse Cake,https://tljus.com/menus/cakes/vanilla-chocolate-heart-mousse-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadf3_Screenshot%202023-05-15%20at%2012.33.43%20PM.png,1,,TL-CA-024,"Vanilla chocolate mousse base(milk cream, sugar, whole egg, wheat flour, egg yolk, water, milk, egg white, dark chocolate, milk chocolate, shortening, margarine, corn syrup, emulsifying agent, soybean oil, cocoa powder, vanilla paste, corn starch, gelatin, salt, baking powder, cocoa powder, baking soda, citric acid, xanthan gum), Cloud cream[heavy cream(milk), whipping cream, sugar], Vanilla macaron, Raspberries, Sugar powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,386,50,17,4.8,Cakes
Strawberry Tiramisu,https://tljus.com/menus/cakes/strawberry-tiramisu,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e6fd48eaac1b0d837d9d_StrawberryTiramisu.png,1,,TL-CA-025," 

[Tên sản phẩm: Strawberry Tiramisu]

Mô tả:
Strawberry Tiramisu là một hương vị độc đáo và hấp dẫn được tạo ra từ những miếng bánh nướng với dâu tươi. Khi thưởng thức, bạn sẽ cảm nhận được sự kết hợp hoàn hảo giữa vị ngọt dịu của bánh, cùng chút chua nhẹ của mứt dâu.

[Thành phần:]

1. Lớp phủ: 
- Strawberry tươi
2. Bánh quy: 
- Bánh quy Oreo
3. Nhân kem phô mai:
- Phô mai kem (tùy chọn)
4. Kem đánh bông
5. Xi-rô đường và tinh chất vani
6. Đường bột
7. Bột ca cao không đường

[Hướng dẫn:]
1. Làm nóng lò nướng của bạn đến 190 độ C.
2. Chuẩn bị một khuôn bánh 9 inch bằng cách quét dầu hoặc bơ vào đáy để ngăn chặn việc tràn khi đổ đầy.
3. Trong một bát vừa, trộn đều hỗn hợp nhân bánh và kem phô mai cho đến khi mịn màng. 
4. Lót từng chiếc bánh quy Oreo trên lớp nhân theo hướng dẫn đóng gói riêng của chúng - làm lạnh bánh trong tủ đông khoảng 30 phút trước khi sử dụng để định hình lại các vòng bánh.
5. Nướng bánh trong 10-12 phút hoặc cho đến khi vàng nâu và đông lại một phần. 
6. Trong khi chờ đợi, chuẩn bị hỗn hợp xi-rô đường bằng cách trộn đều đường bột với tinh chất vani. Sau đó khuấy vào kem đánh bông theo hướng dẫn đóng gói riêng của chúng.
7. Đổ đầy các lớp bánh quy Oreo lên trên lớp kem phô mai và thêm một ít xi-rô đường phủ lên trên. 
8. Làm lạnh trong tủ lạnh cho đến khi đông lại hoàn toàn, mất khoảng 30 phút hoặc lâu hơn nếu bạn muốn. Bạn cũng có thể cần làm lạnh trong tủ đông cho đến khi bánh đông lại theo hướng dẫn đóng gói riêng của chúng.
9. Phục vụ Strawberry Tiramisu trên một đĩa trang trí đẹp mắt với một ít kem đánh bông và rắc đường bột. 

[Kết luận:]
Strawberry Tiramisu là sự lựa chọn hoàn hảo để kết thúc bữa ăn ngọt ngào sau khi nướng bánh. Hương vị độc đáo của nó chắc chắn sẽ làm hài lòng các tín đồ yêu thích đồ ngọt, khiến bạn cảm thấy thật thỏa mãn với hương vị tinh tế và kết cấu giòn tan trong miệng!","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,69,50,17,4.3,Cakes
Piggy Cake,https://tljus.com/menus/cakes/piggy-cake,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deae04_Screenshot%202023-05-15%20at%202.33.25%20PM.png,1,,TL-CA-026,"Strawberry butter cream(butter, margarine, sugar, water, strawberry flavor paste, corn syrup), Red velvet cake sheet(red velvet cake mix, water, egg white, corn oil, sugar), White cake sheet(liquid egg, sugar, wheat flour, butter, dough improver, baking powder, sea salt), Raspberry jam mix(raspberry jam, water, sugar, lemon juice), Coconut fine shred, Chocolate decoration(milk), Chocolate decoration(white), Cake syrup(water, sugar, lemon juice), Chocolate decoration(white)","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,21,50,12,4.6,Cakes
Party Bear,https://tljus.com/menus/cakes/party-bear,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deae03_Screenshot%202023-05-15%20at%202.30.45%20PM.png,1,,TL-CA-027,"Whole egg, Sugar, Wheat flour, Coating chocolate, Margarine, Chocolate filling, Water, Shortening. Prepared edible fat, Whipping cream, Dark chocolate, Cocoa powder, Margarine, Decorative chocolate1, Emulsifying agent, Sunflower seed oil, Decorative chocolate2, Decorative chocolate3, Dark chocolate, Baking powder, Corn syrup, Rum","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,322,50,24,4.8,Cakes
Jungle Party,https://tljus.com/menus/cakes/jungle-party,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deae02_Screenshot%202023-05-15%20at%202.28.40%20PM.png,1,,TL-CA-028,"Whole egg, Sugar, Margarine, Wheat flour, Chocolate filling, Water, Prepared edible fat, Egg white, Shortening, Chocolate powder, Soybean oil, Chocolate decoration(dark, milk), Cocoa powder, Brownie bites, Margarine, Emulsifying agent, Chocolate signboard(dark), Salt, Cocoa powder, Rum, Baking soda, Choco crunch cookie, Baking powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,0,471,50,12,2.8,Cakes
Peach Cream Piece,https://tljus.com/menus/cakes/peach-cream-piece,tljus,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deadf4_Copy%20of%20Peach%20Cream%20Piece.png,1,,TL-CA-029,"Cream, Whole egg, Whipping cream, Apricot jam, Sugar, Frozen peach, White chocolate, Wheat flour, Water, Milk, Coating chocolate, Yogurt powder, Corn syrup, Shortening, Margarine, Cheese, Emulsifying agent, Corn starch, Baking powder, Peach flavored syrup, Salt, Cake stabilizer, Citric acid, Xanthan gum, Sugar powder","{'product_sizes': 'S|M|L', 'product_prices': '50000|62000|74000'}",₫,20,156,50,27,3.6,Cakes
